userid,user_display_name,user_screen_name,user_profile_description,fake_news,institute_or_Organization,individual,political_affiliate,retweeters_id,retweeters_category,retweetersCategory,retweeters_count,noOfTweets,noOfReTweets,follower_count,following_count,reply_count,like_count,No_of_usersMentioned,hashtag_counts,urls_counts,quote_count,polls_counts,retweet_tweet_ratio,ageOftheAccount,tweet_client,categories
00e60b6efcc4135bb73e81ba1e385786894899da0a9633120c538e24e290f8a0,00e60b6efcc4135bb73e81ba1e385786894899da0a9633120c538e24e290f8a0,00e60b6efcc4135bb73e81ba1e385786894899da0a9633120c538e24e290f8a0,Every child is an artist.  The problem is how to remain an artist once he grows up.,0,0,1,0,[],[],0,0,270,2,41,302,0,1,1,171,20,0,0,0.0074,228,1,2
0105e08292e57e3bc201e097ac85752a7a1e17e6d2c1886c2233df0d6b683eaa,0105e08292e57e3bc201e097ac85752a7a1e17e6d2c1886c2233df0d6b683eaa,0105e08292e57e3bc201e097ac85752a7a1e17e6d2c1886c2233df0d6b683eaa,I love you. https://t.co/02XzbFcEAc,0,0,1,0,[],[],0,0,4,14,17,193,0,0,0,0,0,0,0,3.5,33,1,2
010659f988d882af388da498e705d5d49d1540211f9955edf6f6987c5cb49268,010659f988d882af388da498e705d5d49d1540211f9955edf6f6987c5cb49268,010659f988d882af388da498e705d5d49d1540211f9955edf6f6987c5cb49268,TroublemakerXD,0,0,1,0,[],[],0,0,47,10,70,142,0,1,9,50,1,0,0,0.2128,269,1,2
014566537ca2ddd1103f757f81a7561cd445bd114c575d058d2921b028a69bb1,014566537ca2ddd1103f757f81a7561cd445bd114c575d058d2921b028a69bb1,014566537ca2ddd1103f757f81a7561cd445bd114c575d058d2921b028a69bb1,"""Our lifes a stage, a comedy: either learn to play and take it lightly, or bear its troubles patiently""",0,0,1,0,[],[],0,0,260,1,119,247,2,14,0,53,59,0,0,0.0038,650,1,2
01523cbff356354498112e37728a47eabc91516d9405864bade865e5cd198b07,01523cbff356354498112e37728a47eabc91516d9405864bade865e5cd198b07,01523cbff356354498112e37728a47eabc91516d9405864bade865e5cd198b07,"Work hard, play hard!",0,0,1,0,[],[],0,0,268,27,117,51,0,6,0,75,56,0,0,0.1007,588,1,2
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,by profession # Hematologist Interested; Calligraphy ...,0,0,1,0,"['4afa63d0310df93ed087dc2e33b18f913bf56c51a4e64f1dbd4abbbc209437af', '6f0b2ba4f2a1fa585e1c4fe233f7f91904e49919cfc29c358cd7888aa94f95b6', 'f2c091345d45dc892e9badc31fc89ddd1c1554d1ec85bb34cc86106dd9c39390', '831757634b3dc69a40489829a79e4616080f7d9198fe242747c00610460efdbc', '7b308d8a7563a6c864dfd4997bbfd3c009ec0edfb81182bb1ebb57f0cadba0d9']",[2],1,5,14,0,58,65,0,0,0,0,14,0,0,0,163,4,2
01ac74154dcdbedea7b6dd1aa33c1f78f32667c665283139603f2a8657ca9cc1,01ac74154dcdbedea7b6dd1aa33c1f78f32667c665283139603f2a8657ca9cc1,01ac74154dcdbedea7b6dd1aa33c1f78f32667c665283139603f2a8657ca9cc1,I love to travel!,0,0,1,0,[],[],0,0,4,4,179,483,0,0,0,4,1,0,0,1,290,1,2
024c16a668e177e623f072aa23dd8d51b07fedef9133ab54b3392f60a380f7a1,024c16a668e177e623f072aa23dd8d51b07fedef9133ab54b3392f60a380f7a1,024c16a668e177e623f072aa23dd8d51b07fedef9133ab54b3392f60a380f7a1,Social media enthusiast. Wannabe creator. General internet expert. Entrepreneur. Hardcore introvert.,0,0,1,0,[],[],0,0,1,0,80,99,0,0,0,2,0,0,0,0,334,1,2
0287e12b16bdae571c259fb766e3c924523ef122d56960a58779bcde11894291,0287e12b16bdae571c259fb766e3c924523ef122d56960a58779bcde11894291,0287e12b16bdae571c259fb766e3c924523ef122d56960a58779bcde11894291,energy-life!,0,0,1,0,[],[],0,0,1,5,225,1808,0,0,0,1,0,0,0,5,352,1,2
02b81295dbf8951d10c2539c036e072a4cab40b516b0869e92f959f5fea9e233,02b81295dbf8951d10c2539c036e072a4cab40b516b0869e92f959f5fea9e233,02b81295dbf8951d10c2539c036e072a4cab40b516b0869e92f959f5fea9e233,"Official Twitter account for the online magazine ""United Muslims of America,"" a page to unite all Muslim people living in the USA.",0,1,0,0,[],[],0,0,715,3,2953,2246,301,4291,24,388,107,179,0,0.0042,504,3,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,"Cynologist ... Historical Fencing ... Old Irons - Psychological Tests,",0,0,1,0,"['66ea134323c09905ee9d91652300c5c9487327a0ef9660b0b7aced9150eedb4c', 'fedd5fbc1d6c6e7f3e19a28a86142bb88ad733f354b47a525acc3c8ed0d3e7c3', '2347ccb51951282b75565934b3a681ecae4864529ca38700b0ceb9d9104c02c6', 'd6f0615523c7ebcb729e00d102921946754680ab141051dfc1ad93554ee44bb9']",[2],1,4,17,0,76,48,0,0,0,0,17,0,0,0,257,4,2
02e3e757a26b130db7ce493da680356a1bf4a46a2fb2442abe636a348a87da84,02e3e757a26b130db7ce493da680356a1bf4a46a2fb2442abe636a348a87da84,02e3e757a26b130db7ce493da680356a1bf4a46a2fb2442abe636a348a87da84,"""Dont let the fear of striking out hold you back.""",0,0,1,0,['518bbe72ab80cf042d530521d2930b81126cbd634d2d4ff3629b1994a433604f'],[2],1,1,496,45,28,14,3,6,12,170,28,0,0,0.0907,544,1,2
02f93fe30e3ec9208085258b14dd2c5d4054b3282b99b0e53d11130a6145ff7a,02f93fe30e3ec9208085258b14dd2c5d4054b3282b99b0e53d11130a6145ff7a,02f93fe30e3ec9208085258b14dd2c5d4054b3282b99b0e53d11130a6145ff7a,Always remember that you are absolutely unique. Just like everyone else,0,0,1,0,[],[],0,0,1,10,4,43,0,1,0,1,0,0,0,10,0,1,2
02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,02fdbbce9f36a93ed8056e0a1b02a857a0bce32e7d96d01d021e91b51681d134,Non-Governmental Organization (NGO),0,1,0,0,"['cfe9315d7429aedb7f843a165185d91f0ae819e54026d8a22a4f6e539f5e9132', 'efbb959a308f1bd1199a15221511bdd9e8945a3a02da83ce9d6585224733a8f6', '5f452585194266b94e60c99e1dd07f808ceb2b26b10cfb939c2e5ad47888be1c', 'c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5', '3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d', '3978316814', 'cd0e6a3af6160a511a2cea1bda54113ea9ba8ba27b70575e4d3612c6074c342b', 'e8e7c2bfdb7272a4a7db5dfcbb01627222d934054e99469baba6a2fe5edb9f92', '0404c43fd292e150e475afeff9a6975d5ee14a8647ee97fce25f515b93759a2c', 'd225180304e4fafe5af936306b254e2cf5f2a950d6947f94c6ab44f7d51e2606', '6791992ed85cd2e739f57d9e4f1a4d1ac119577cdece986e1e049ade25c2d793']","[1, 2]",2,11,1130,0,3817,2484,1051,23743,9,422,231,1349,0,0,333,3,1
03003635a630551697f15e03e2706fd19ca5e7d12632543548b009e1755af215,03003635a630551697f15e03e2706fd19ca5e7d12632543548b009e1755af215,03003635a630551697f15e03e2706fd19ca5e7d12632543548b009e1755af215,Adore Opera!,0,0,1,0,"['1217457b2be85f0bf13e90a0a1b74a772306ecf4d45c1775792d4d892927087a', '7d6e1bb457a9c398fb736b173694472901d1cd6cf6df81daea588152381b67c7']","[2, 3]",2,2,77,7,125,153,2,2,21,74,7,0,0,0.0909,353,4,2
0314a1a7baac794f823385569df333d380176f52399d19647b29ed8f14f0c8b8,0314a1a7baac794f823385569df333d380176f52399d19647b29ed8f14f0c8b8,0314a1a7baac794f823385569df333d380176f52399d19647b29ed8f14f0c8b8,I am interested in everything and everyone :),0,0,1,0,[],[],0,0,39,2,415,1730,0,0,0,0,39,0,0,0.0513,614,4,2
0317d779477f9c55dacd1c0326f63f2f84076c68db422b76bf2ec5407c43302d,0317d779477f9c55dacd1c0326f63f2f84076c68db422b76bf2ec5407c43302d,0317d779477f9c55dacd1c0326f63f2f84076c68db422b76bf2ec5407c43302d,freedom men,0,0,1,0,[],[],0,0,117,11,23,192,1,3,38,92,10,0,0,0.094,28,1,2
034c8152049f1c7c70dc6b28ac2864632149c173484ac1ea782ed992c05b4e4a,034c8152049f1c7c70dc6b28ac2864632149c173484ac1ea782ed992c05b4e4a,034c8152049f1c7c70dc6b28ac2864632149c173484ac1ea782ed992c05b4e4a,sweet baby :D,0,0,1,0,[],[],0,0,60,10,20,172,0,1,8,53,2,0,0,0.1667,17,1,2
035235403bfbbffdf18507847eed7d692c48a4196be9b39c961f05111bbbbf20,035235403bfbbffdf18507847eed7d692c48a4196be9b39c961f05111bbbbf20,035235403bfbbffdf18507847eed7d692c48a4196be9b39c961f05111bbbbf20,"who was not in the army, he did not know life",0,0,1,0,[],[],0,0,7,439,667,1683,0,0,0,7,3,0,0,62.7143,269,4,2
036f00c07c156312746b8cb3fe285aec2ccf360227f6a59bf8199238a6f0010c,036f00c07c156312746b8cb3fe285aec2ccf360227f6a59bf8199238a6f0010c,036f00c07c156312746b8cb3fe285aec2ccf360227f6a59bf8199238a6f0010c,June 18 18-Jun,0,0,1,0,[],[],0,0,10,0,471,2992,11,210,2,9,3,0,0,0,21,1,2
0377659a02850fbaf3e10247c675933294eac97b68eff6cc7edb2c695d5fa661,0377659a02850fbaf3e10247c675933294eac97b68eff6cc7edb2c695d5fa661,0377659a02850fbaf3e10247c675933294eac97b68eff6cc7edb2c695d5fa661,Student-cultural studies. Poet,0,0,1,0,[],[],0,0,2,1,293,418,0,0,0,4,0,0,0,0.5,358,1,2
037f351a4dd5fcc1c46144caca0fb7b6c63806f3c97372650d45f159c5a7c13a,037f351a4dd5fcc1c46144caca0fb7b6c63806f3c97372650d45f159c5a7c13a,037f351a4dd5fcc1c46144caca0fb7b6c63806f3c97372650d45f159c5a7c13a,"""I admit, when Im in a bad mood, EVERYTHING annoys me""",0,0,1,0,[],[],0,0,18,0,122,141,0,0,0,23,0,0,0,0,860,1,2
